,0
82,Clean and link your metadata with alignments BenGLab 1Tim Manders
83,"New Phonograph: Modular technology, workflow, and collaboration BenGLab 2Anthony Allen"
84,Core developments in audiovisual metadata: A standards update Theatre 2Rebecca Fraimow • Jean-Pierre Evain
85,Poster session 3 AtriumAngela Maria de Cristofaro • Cristina Kühn • Johannes Kapeller • Rosie Rowe • Ginevra Rapex • Miyuki Meyer
86,Historical sound documents in Germany BenGLab 2Rainer E. Lotz
87,Seeing the big picture: A data science approach to making sense of archival collections via Jupyter notebooks BenGLab 1Mari Wigham • Liliana Melgar
88,Why I am an (broadcast) archivist Theatre 1Shubha Chaudhuri • Ilse Assmann
89,"MPWARA syndrome: Symptoms, diagnosis, and treatment Theatre 1Snowden Becker • Tre Berney"
90,A novel steganographic process to ensure error-free digital recording and transmission of audio BenGLab 2Ian Dennis
91,Concepts and data in audio preservation: A meaningful relationship Theatre 2Federica Bressan
92,Lunch Atrium
93,Featured presentation: Lossless compression and other stories from the New York Public Library audio and moving image initiative Theatre 1Rebecca Holte
94,Plenary Theatre 1Toby Seay
95,PV1 – The Netherlands Institute for Sound and Vision External
96,PV2 - The Music Centre of Dutch Public Broadcasting External
97,PV3 - Eye Collection Centre External
98,PV4 - Stedelijk Museum External
99,PV5 - the University of Amsterdam Special Collections External
100,"PV6 - Netherlands Institute for Conservation, Art and Science External"
101,PV7 - Rijksmuseum External
102,Screening at Eye Filmmuseum External
103,Registration Atrium
104,W6: The composition of digital audio and video files Theatre 2Bertram Lyons
105,"W4: Overview of IASA-TC 06 Guidelines for Video Preservation: Formats, Carriers and Workflow Theatre 1George Blood • Peter Bubestinger-Steindl • Andy Martin • Lars Gaustad • Carl Fleischhauer • Somaya Langley • Kate Murray"
106,"W5: Safeguarding the RTS broadcast lacquer discs: challenges of a multifaceted project Twitter Large, Media ParkKaren Beun • Emiliano Flores • Eric Monge • Rebecca Rochat"
107,W7: FFmpeg for audio-visual archivists (1) BenGLab 2Joshua Ng • Reto Kromer
108,Refreshments Atrium
109,W13: Europeana Media: Using IIIF/AV to improve online audiovisual collections Theatre 2Sally Reynolds • Mathy Vanbuel • Erwin Verbruggen • Marco Rendina • Abiodun Ogunyemi
110,Lunch Atrium
111,W10: A bluffers guide to sound and digital audio (part 1) Theatre 2Neil Garner
112,W11: NEMOSINE - The future of media storage Theatre 1Kerstin Herlt • Nadja Wallaszkovits • Juan Ignacio Lahoz Rodrigo
113,"W8: Improving metadata in DPX files: Open source tools and guidelines from FADGI Twitter Large, Media ParkBertram Lyons • Kate Murray"
114,W12: FFmpeg for audio-visual archivists (2) BenGLab 2Joshua Ng • Reto Kromer
115,Refreshments Atrium
116,Executive board and officers of committees and sections closed meeting BenGLab 1Toby Seay
117,W10: A bluffers guide to sound and digital audio (part 2) Theatre 2Neil Garner
118,W9: Quality control for media digitization projects Theatre 1Mike Casey
119,IASA 50th Anniversary Dinner External
